Close,High,Low,Open,Volume,Daily Return,Rolling_Volatility_30,MA30,MA100,Year,Month
AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,
72.33384704589844,72.39405500792273,71.0911538277646,71.34402432842471,135480400,,,,,2020,1
71.63065338134766,72.38927264137095,71.40668140593664,71.56322072155912,146322800,-0.009721502357044276,,,,2020,1
72.20140838623047,72.23994237629597,70.50354624985978,70.75401351048198,118387200,0.00796802734500024,,,,2020,1
71.86185455322266,72.46633779595872,71.6426965801033,72.21105649751387,108872000,-0.004702869938373211,,,,2020,1
73.01783752441406,73.31887745373415,71.56562119935828,71.56562119935828,132079200,0.016086183391429865,,,,2020,1
74.56880187988281,74.76146451044018,73.74275001069596,73.99320996049889,170108400,0.02124089685551378,,,,2020,1
74.73738098144531,75.3009342510977,74.23645372460896,74.80241031619431,140644800,0.002260718924169458,,,,2020,1
76.33409881591797,76.36059415429726,74.93486566437117,75.05287832688332,121532000,0.0213643803610013,,,,2020,1
75.3033447265625,76.48101668324267,75.18052540962947,76.27149402827726,161954400,-0.013503193269382319,,,,2020,1
74.98060607910156,75.98246770801262,74.54951490172726,75.10343270524221,121923600,-0.004285847443202595,,,,2020,1
75.91985321044922,76.03064118697364,75.16123412136378,75.52248200660513,108829200,0.01252653426616468,,,,2020,1
76.76036071777344,76.7627640392473,75.86205500785368,76.16790890123319,137816400,0.011070984357600677,,,,2020,1
76.24017333984375,76.8302072165908,76.10289736234121,76.38948797518701,110843200,-0.006776770888848094,,,,2020,1
76.5123062133789,77.06380603496487,76.4183782339569,76.72423213565071,101832400,0.0035694157242023294,,,,2020,1
76.88076782226562,76.96023911310208,76.01858552983758,76.56527863051073,104472000,0.004815716936555914,,,,2020,1
76.65921020507812,77.86818383448923,76.46895092458591,77.12642473209515,146537600,-0.0028818340849521284,,,,2020,1
74.4050064086914,75.08414667112925,73.42481897034624,74.67232624663728,161940000,-0.02940551814134651,,,,2020,1
76.50989532470703,76.68088393464757,75.18531972883665,75.28406170066347,162234000,0.028289614067821045,,,,2020,1
78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200,0.020932350980549463,,,,2020,1
77.99822998046875,78.05121329496869,76.76517176985938,77.19626294921763,126743200,-0.001449177547544589,,,,2020,1
74.53987884521484,77.71163064497078,74.24606365244907,77.29017484753824,199588400,-0.044338841229088155,,,,2020,1
74.33519744873047,75.49841264105945,72.7842389592195,73.28516622775322,173788400,-0.002745931435029658,,,,2020,2
76.78924560546875,76.97950484657014,75.53210291102174,75.93669870128832,136616400,0.03301327286351596,,,,2020,2
77.4154281616211,78.21258127557842,76.81334832632962,77.91394467954083,118826800,0.008154560592632532,,,,2020,2
78.32093048095703,78.32334115153373,77.12881713275685,77.68513816517135,105425600,0.0116966648746748,,,,2020,2
77.2563705444336,78.06989925267796,76.76632167871378,77.82125391424971,117684000,-0.013592278973016958,,,,2020,2
77.62332153320312,77.62332153320312,75.76451830766848,75.84417825098375,109348800,0.004749782913481271,,,,2020,2
77.15496063232422,78.19058359645562,76.93769897957516,78.11816550122239,94323200,-0.006033765260593293,,,,2020,2
78.98722839355469,78.9920538114317,77.60398368209574,77.60398368209574,113730400,0.023747893151834898,,,,2020,2
78.42474365234375,78.75063980830953,78.05781303227035,78.2605910618148,94747600,-0.00712121127238885,,75.793812306722,,2020,2
78.44406127929688,78.69270656111114,77.93711251400148,78.3933612458328,80113600,0.00024632056228024446,0.262181984526088,75.99748611450195,,2020,2
77.00772094726562,77.18877358272158,75.94795598487916,76.12900862033511,152531200,-0.018310376956608865,0.26689691548597827,76.17672170003256,,2020,2
78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000,0.014482804672604876,0.268707270626161,76.37410837809244,,2020,2
77.32154846191406,78.37165530100644,76.81701596336808,77.8840228178166,100566000,-0.010258952889326545,0.27052632826744344,76.55609817504883,,2020,2
75.57138061523438,77.3577728316972,74.9558044913532,76.91600019658557,129554000,-0.02263493012613116,0.276935235704052,76.64121627807617,,2020,2
71.98171997070312,73.43014149606624,69.82116228226818,71.75963279569704,222195200,-0.04750026551463604,0.30423039747632397,76.55498021443685,,2020,2
69.54352569580078,73.03180965186876,69.07279323243056,72.6503953158895,230673600,-0.033872409215766175,0.31855500087252236,76.38185170491536,,2020,2
70.646728515625,71.90927139616765,69.16209855410392,69.16934036398257,198054800,0.015863487057729664,0.3154021448994405,76.1922726949056,,2020,2
66.02867126464844,69.0413890764873,65.89348591735909,67.85851360418104,320605600,-0.06536831001247545,0.36345025973150025,75.8831169128418,,2020,2
65.99007415771484,67.20916656577968,61.88862999768775,62.10348270400579,426510000,-0.0005845507140207484,0.36359332676448164,75.58343251546223,,2020,2
72.13375854492188,72.76865074645058,67.04256107502337,68.14336012975559,341397200,0.09310012855151162,0.4581078927655936,75.45722935994466,,2020,3
69.84285736083984,73.38665871766685,68.99311238709194,73.3069988099028,319475600,-0.031759071345982215,0.4648225071078045,75.22664591471354,,2020,3
73.0824966430664,73.24182384454771,70.76261243598904,71.56165746891385,219178400,0.046384689925973666,0.48586306676161867,75.12139002482097,,2020,3
70.71192169189453,72.31242082695749,70.34740002247567,71.33956494467967,187572800,-0.03243697273712087,0.494083601041491,74.92804387410482,,2020,3
69.77287292480469,70.20498737405435,67.889928042293,68.07580613740882,226176800,-0.013279921470405798,0.4946465729194265,74.69111404418945,,2020,3
64.2543716430664,67.13189718407227,63.489119320777824,63.670171942415024,286744800,-0.07909236140649756,0.541866400021779,74.27761942545573,,2020,3
68.88207244873047,69.14761776690831,65.02685833500999,66.9025682079639,285290000,0.07202157125387476,0.5809900750928061,74.09352162679036,,2020,3
66.48975372314453,67.88748182990133,65.62794159632746,66.96290981260235,255598800,-0.03473064384592317,0.5812228161752158,73.75951690673828,,2020,3
59.92359161376953,65.17894700154001,59.86806983845157,61.784814276675704,418474000,-0.09875449586887808,0.6373685255754616,73.15325571695963,,2020,3
